year_month,disposalcost,expense,sales,payroll
2025-01,95800.00,110000.00,220000.00,185800.00
2025-02,112457.00,160000.00,155000.00,190000.00
2025-03,100200.00,100000.00,195000.00,195000.00
2025-04,105300.00,190000.00,185000.00,200000.00
2025-05,98000.00,150000.00,240000.00,205000.00
2025-06,110500.00,190000.00,285000.00,210000.00
2025-07,115000.00,175000.00,280000.00,215000.00
2025-08,107800.00,165000.00,270000.00,220000.00
2025-09,102300.00,220000.00,310000.00,225000.00
2025-10,108900.00,140000.00,235000.00,230000.00
2025-11,113400.00,155000.00,150000.00,235000.00
2025-12,120000.00,180000.00,175000.00,240000.00
