project_id,job_number,awarded_date,project_description,structure_type,sqft,bid_price,job_cost,estimator
1,1,2024-01-17,Interior Demolition,Other,12000.00,25000.00,12500.00,Estimator One
5,5,2024-01-25,House Demo,Brick or Block,5000.00,7800.00,3900.00,Estimator One
10,10,2024-01-18,Building Demo,Metal,26500.00,62500.00,31250.00,Estimator One
15,15,2024-02-16,House Demo,Wood,5800.00,15400.00,7800.00,Estimator One
20,20,2024-05-25,House Demo,Wood,4800.00,10200.00,6800.00,Estimator One
2,2,2024-01-27,Interior Demolition,Other,11500.00,24500.00,12250.00,Estimator Two
4,4,2024-01-02,House Demo,Wood,5500.00,9800.00,4900.00,Estimator Two
6,6,2023-10-19,Building Demo,Metal,28500.00,60000.00,30000.00,Estimator Two
8,8,2024-02-16,Interior Demolition,Other,12000.00,26500.00,13250.00,Estimator Two
3,3,2023-11-16,Building Demo,Metal,25000.00,65000.00,32500.00,Estimator Three
9,9,2024-02-20,Interior Demolition,Other,11000.00,28500.00,14250.00,Estimator Three
12,12,2024-02-23,Building Demo,Brick or Block,27800.00,58900.00,48600.00,Estimator Three
16,16,2024-02-27,House Demo,Brick or Block,6200.00,18500.00,9200.00,Estimator Three
18,18,2024-04-19,Building Demo,Metal,22500.00,58700.00,32900.00,Estimator Three
7,7,2023-12-14,Building Demo,Wood,25000.00,58500.00,29250.00,Estimator Four
11,11,2024-04-17,Interior Demolition,Other,13500.00,42000.00,28000.00,Estimator Four
13,13,2024-04-25,Interior Demolition,Other,11800.00,32500.00,22300.00,Estimator Four
14,14,2024-03-14,Building Demo,Metal,22500.00,63250.00,48740.00,Estimator Four
17,17,2024-04-18,House Demo,Wood,5500.00,13800.00,7800.00,Estimator Four
19,19,2024-05-16,Interior Demolition,Other,12500.00,31250.00,21500.00,Estimator Four
21,21,2024-04-19,Building Demo,Wood,50000.00,125000.00,75000.00,Estimator Four
22,22,2024-06-13,Interior Demolition,Other,18500.00,67300.00,41300.00,Estimator Four
23,23,2024-05-31,House Demo,Brick or Block,5200.00,10500.00,7200.00,Estimator Four
24,24,2024-04-11,Building Demo,Metal,51250.00,128000.00,92350.00,Estimator Four
25,25,2024-06-14,Interior Demolition,Other,18900.00,71250.00,48693.00,Estimator Four
